Ticker          Short Name
BCR UN Equity   CR BARD INC
BDX UN Equity   BECTON DICKINSON
BEN UN Equity   FRANKLIN RES INC
BF/B UN Equity  BROWN-FORMAN -B
BHI UN Equity   BAKER HUGHES INC
BIIB UW Equity  BIOGEN INC
BK UN Equity    BANK NY MELLON
BLK UN Equity   BLACKROCK INC
BLL UN Equity   BALL CORP
BMY UN Equity   BRISTOL-MYER SQB
BRCM UW Equity  BROADCOM CORP-A
BRK/B UN Equity BERKSHIRE HATH-B
BSX UN Equity   BOSTON SCIENTIFC
BWA UN Equity   BORGWARNER INC
BXP UN Equity   BOSTON PROPERTIE
C UN Equity     CITIGROUP INC
CA UW Equity    CA INC
CAG UN Equity   CONAGRA FOODS
CAH UN Equity   CARDINAL HEALTH
CAM UN Equity   CAMERON INTERNAT
CAT UN Equity   CATERPILLAR INC
CB UN Equity    CHUBB CORP
CBG UN Equity   CBRE GROUP INC-A
CBS UN Equity   CBS CORP-B
CCE UN Equity   COCA-COLA ENTER
CCI UN Equity   CROWN CASTLE INT
CCL UN Equity   CARNIVAL CORP
CELG UW Equity  CELGENE CORP
CERN UW Equity  CERNER CORP
CF UN Equity    CF INDUSTRIES HO
CHK UN Equity   CHESAPEAKE ENERG
CHRW UW Equity  CH ROBINSON
CI UN Equity    CIGNA CORP
CINF UW Equity  CINCINNATI FIN
CL UN Equity    COLGATE-PALMOLIV
CLX UN Equity   CLOROX CO
CMA UN Equity   COMERICA INC
CMCSA UW Equity COMCAST CORP-A
CME UW Equity   CME GROUP INC
CMG UN Equity   CHIPOTLE MEXICAN
CMI UN Equity   CUMMINS INC
CMS UN Equity   CMS ENERGY CORP
CNP UN Equity   CENTERPOINT ENER
CNX UN Equity   CONSOL ENERGY
COF UN Equity   CAPITAL ONE FINA
COG UN Equity   CABOT OIL & GAS
COH UN Equity   COACH INC
COL UN Equity   ROCKWELL COLLINS
COP UN Equity   CONOCOPHILLIPS
COST UW Equity  COSTCO WHOLESALE
CPB UN Equity   CAMPBELL SOUP CO
CRM UN Equity   SALESFORCE.COM
CSC UN Equity   COMPUTER SCIENCE
CSCO UW Equity  CISCO SYSTEMS
CSX UN Equity   CSX CORP
CTAS UW Equity  CINTAS CORP
CTL UN Equity   CENTURYLINK INC
CTSH UW Equity  COGNIZANT TECH-A
CTXS UW Equity  CITRIX SYSTEMS
CVC UN Equity   CABLEVISION SY-A
CVS UN Equity   CVS HEALTH CORP
CVX UN Equity   CHEVRON CORP
D UN Equity     DOMINION RES/VA
DAL UN Equity   DELTA AIR LI
DD UN Equity    DU PONT (EI)
DE UN Equity    DEERE & CO
DFS UN Equity   DISCOVER FINANCI
DG UN Equity    DOLLAR GENERAL C
DGX UN Equity   QUEST DIAGNOSTIC
DHI UN Equity   DR HORTON INC
DHR UN Equity   DANAHER CORP
DIS UN Equity   WALT DISNEY CO
DISCA UW Equity DISCOVERY COMM-A
DISCK UW Equity DISCOVERY COMM-C
DLPH UN Equity  DELPHI AUTOMOTIV
DLTR UW Equity  DOLLAR TREE INC
DNB UN Equity   DUN & BRADSTREET
DO UN Equity    DIAMOND OFFSHORE
DOV UN Equity   DOVER CORP
DOW UN Equity   DOW CHEMICAL CO
DPS UN Equity   DR PEPPER SNAPPL
DRI UN Equity   DARDEN RESTAURAN
DTE UN Equity   DTE ENERGY CO
DTV UW Equity   DIRECTV
DUK UN Equity   DUKE ENERGY CORP
DVA UN Equity   DAVITA HEALTHCAR
DVN UN Equity   DEVON ENERGY CO
EA UW Equity    ELECTRONIC ARTS
EBAY UW Equity  EBAY INC
ECL UN Equity   ECOLAB INC
ED UN Equity    CONS EDISON INC
